#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2015-01-14 00:00 to 2019-01-24 20:00
#
# Data for the following site(s) are contained in this file:
#
#	SCAN 2225: Mark Twain HS, MO
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration  Base Data  Measurement Units  Sensor Depth  Element Code  Description                       
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -2            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -4            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -8            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -20           SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -40           SMS           Percent volumetric soil moisture  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mark Twain Hs (2225) 
# Missouri  SCAN Site - 730 ft
# Reporting Frequency: Hourly; Date Range: 2015-01-14 00:00 to 2019-01-24 20:00
#
# As of: Jan 24, 2019 8:12:16 PM GMT-08:00
#
Date,Mark Twain HS (2225) Soil Moisture Percent -2in (pct),Mark Twain HS (2225) Soil Moisture Percent -4in (pct),Mark Twain HS (2225) Soil Moisture Percent -8in (pct),Mark Twain HS (2225) Soil Moisture Percent -20in (pct),Mark Twain HS (2225) Soil Moisture Percent -40in (pct)
2018-05-17 13:00,15.9,13.0,11.9,43.3,36.5
2018-05-17 14:00,14.4,13.3,11.8,43.0,36.6
2018-05-17 15:00,14.4,13.3,11.6,43.5,37.3
2018-05-17 16:00,14.4,13.1,12.0,43.8,37.3
2018-05-17 17:00,14.3,13.1,12.0,43.6,37.4
2018-05-17 18:00,14.4,12.8,11.8,43.5,37.1
2018-05-17 19:00,14.0,12.9,11.8,43.6,37.1
2018-05-17 20:00,14.4,13.1,12.0,43.5,36.8
2018-05-17 21:00,14.0,12.9,12.0,43.4,37.6
2018-05-17 22:00,14.4,13.1,12.2,44.1,37.6
2018-05-17 23:00,14.5,12.9,12.1,44.3,37.6
2018-05-18 00:00,14.7,13.0,11.7,44.3,37.3
2018-05-18 01:00,13.8,12.8,11.7,44.1,38.0
2018-05-18 02:00,14.0,12.8,12.0,44.1,37.7
2018-05-18 03:00,14.0,13.0,11.6,44.1,37.7
2018-05-18 04:00,14.2,13.0,11.7,44.1,37.4
2018-05-18 05:00,13.8,13.0,11.7,44.1,38.2
2018-05-18 06:00,13.9,13.1,11.9,44.0,38.2
2018-05-18 07:00,13.9,13.1,11.9,44.0,38.2
2018-05-18 08:00,13.9,13.1,11.6,44.0,38.2
2018-05-18 09:00,13.8,13.1,11.6,44.0,38.0
2018-05-18 10:00,14.1,13.0,11.7,44.0,38.0
2018-05-18 11:00,14.1,12.7,11.7,44.0,38.4
2018-05-18 12:00,14.1,13.0,11.9,44.0,38.4
2018-05-18 13:00,14.2,13.0,11.9,44.0,38.4
2018-05-18 14:00,26.8,12.8,11.9,44.0,38.1
2018-05-18 15:00,28.6,13.2,11.9,44.0,38.9
2018-05-18 16:00,28.1,13.2,11.7,44.0,38.9
2018-05-18 17:00,27.9,12.7,11.7,44.0,38.9
2018-05-18 18:00,27.7,12.7,11.9,44.0,38.9
2018-05-18 19:00,27.3,12.9,11.7,44.0,38.7
2018-05-18 20:00,26.9,12.9,12.1,44.0,38.7
2018-05-18 21:00,27.0,12.9,11.9,44.5,39.0
2018-05-18 22:00,26.5,13.2,11.9,44.0,39.0
2018-05-18 23:00,26.2,13.0,11.9,44.0,39.0
2018-05-19 00:00,26.1,13.4,11.9,44.5,39.0
2018-05-19 01:00,26.0,13.3,11.9,44.5,38.8
2018-05-19 02:00,26.1,13.3,11.7,44.0,38.2
2018-05-19 03:00,26.0,13.5,11.7,44.5,38.8
2018-05-19 04:00,26.1,13.7,11.7,44.5,38.2
2018-05-19 05:00,25.8,14.2,11.9,44.4,38.6
2018-05-19 06:00,25.9,14.1,11.9,44.4,38.6
2018-05-19 07:00,25.9,14.2,11.9,44.4,38.6
2018-05-19 08:00,25.9,14.5,11.9,44.4,38.6
2018-05-19 09:00,25.5,14.6,11.9,44.4,38.0
2018-05-19 10:00,25.7,14.8,11.9,44.4,38.3
2018-05-19 11:00,25.7,15.4,11.9,44.4,39.5
2018-05-19 12:00,25.6,15.0,12.1,44.4,39.2
2018-05-19 13:00,25.3,15.3,11.9,44.4,39.2
2018-05-19 14:00,25.6,15.5,11.4,44.4,39.2
2018-05-19 15:00,25.3,16.1,12.0,45.6,39.2
2018-05-19 16:00,25.6,16.2,12.0,44.4,39.2
2018-05-19 17:00,25.3,16.2,11.8,44.4,38.9
2018-05-19 18:00,25.1,16.4,12.0,44.4,38.9
2018-05-19 19:00,24.9,16.4,12.0,44.4,38.9
2018-05-19 20:00,25.1,16.6,12.1,44.4,39.4
2018-05-19 21:00,24.7,16.5,12.0,44.4,39.4
2018-05-19 22:00,24.4,16.5,11.8,44.4,39.4
2018-05-19 23:00,24.3,16.7,11.8,44.4,39.4
2018-05-20 00:00,24.0,16.7,11.8,44.4,39.4
2018-05-20 01:00,24.1,16.7,11.8,44.4,39.4
2018-05-20 02:00,24.0,16.7,12.0,44.4,39.4
2018-05-20 03:00,24.1,16.6,12.0,44.4,39.4
2018-05-20 04:00,24.2,16.6,11.6,44.2,39.0
2018-05-20 05:00,24.1,17.0,11.6,44.4,39.0
2018-05-20 06:00,24.4,16.7,11.6,44.2,39.0
2018-05-20 07:00,25.2,16.7,11.9,44.8,40.2
2018-05-20 08:00,25.4,16.7,11.6,44.2,38.7
2018-05-20 09:00,25.5,17.0,12.1,44.2,39.9
2018-05-20 10:00,25.5,17.3,11.6,44.2,39.9
2018-05-20 11:00,28.5,17.5,11.6,44.2,39.9
2018-05-20 12:00,28.9,17.4,11.6,44.1,40.2
2018-05-20 13:00,28.9,19.7,12.2,43.6,39.8
2018-05-20 14:00,29.0,20.9,11.9,46.7,39.9
2018-05-20 15:00,28.2,21.4,11.8,44.2,39.9
2018-05-20 16:00,28.0,21.7,12.0,44.6,39.9
2018-05-20 17:00,27.7,22.2,11.8,44.2,39.5
2018-05-20 18:00,27.7,22.3,12.2,44.2,39.5
