#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2015-01-14 00:00 to 2019-01-24 20:00
#
# Data for the following site(s) are contained in this file:
#
#	SCAN 2226: Twin Pines Conservation Area, MO
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration  Base Data  Measurement Units  Sensor Depth  Element Code  Description                       
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -2            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -4            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -8            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -20           SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -40           SMS           Percent volumetric soil moisture  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Twin Pines Conservation Area (2226) 
# Missouri  SCAN Site - 960 ft
# Reporting Frequency: Hourly; Date Range: 2015-01-14 00:00 to 2019-01-24 20:00
#
# As of: Jan 24, 2019 8:13:00 PM GMT-08:00
#
Date,Twin Pines Conservation Area (2226) Soil Moisture Percent -2in (pct),Twin Pines Conservation Area (2226) Soil Moisture Percent -4in (pct),Twin Pines Conservation Area (2226) Soil Moisture Percent -8in (pct),Twin Pines Conservation Area (2226) Soil Moisture Percent -20in (pct),Twin Pines Conservation Area (2226) Soil Moisture Percent -40in (pct)
2018-05-22 14:00,16.3,21.3,19.0,10.6,13.9
2018-05-22 15:00,16.4,21.4,18.9,10.8,14.3
2018-05-22 16:00,16.0,21.5,19.2,10.8,14.5
2018-05-22 17:00,16.1,21.5,19.1,10.6,14.4
2018-05-22 18:00,16.3,21.5,19.2,10.8,14.6
2018-05-22 19:00,16.0,21.6,19.1,10.7,14.7
2018-05-22 20:00,16.2,21.5,19.3,10.7,14.8
2018-05-22 21:00,16.2,21.6,19.3,10.7,14.8
2018-05-22 22:00,16.3,21.6,19.3,10.7,14.9
2018-05-22 23:00,16.1,21.7,19.2,10.7,14.8
2018-05-23 00:00,16.0,21.7,19.5,10.7,15.1
2018-05-23 01:00,16.4,21.6,19.5,10.7,15.0
2018-05-23 02:00,16.3,21.8,19.4,10.7,15.1
2018-05-23 03:00,16.2,21.8,19.3,11.0,15.1
2018-05-23 04:00,16.2,21.7,19.5,10.7,15.1
2018-05-23 05:00,16.2,21.9,19.5,10.7,15.1
2018-05-23 06:00,16.2,21.8,19.4,10.7,15.0
2018-05-23 07:00,16.2,21.7,19.4,10.7,15.0
2018-05-23 08:00,16.2,21.7,19.4,10.7,15.3
2018-05-23 09:00,16.2,21.7,19.4,10.7,15.3
2018-05-23 10:00,16.3,21.7,19.6,11.0,15.3
2018-05-23 11:00,16.2,21.7,19.6,11.1,15.3
2018-05-23 12:00,16.1,21.8,19.7,11.1,15.1
2018-05-23 13:00,16.0,21.7,19.6,11.1,14.9
2018-05-23 14:00,16.1,21.6,19.4,10.6,14.9
2018-05-23 15:00,16.0,21.5,19.6,11.0,15.1
2018-05-23 16:00,16.1,21.5,19.6,11.0,14.9
2018-05-23 17:00,16.0,21.5,19.6,11.0,15.1
2018-05-23 18:00,16.1,21.6,19.6,10.6,15.1
2018-05-23 19:00,16.0,21.4,19.6,11.1,15.1
2018-05-23 20:00,16.0,21.4,19.6,10.6,15.1
2018-05-23 21:00,16.0,21.7,19.6,10.6,15.1
2018-05-23 22:00,15.8,21.5,19.5,10.6,15.1
2018-05-23 23:00,16.1,21.4,19.4,10.6,15.1
2018-05-24 00:00,16.1,21.6,19.4,10.6,15.1
2018-05-24 01:00,16.1,21.6,19.7,10.6,15.1
2018-05-24 02:00,16.1,21.6,19.6,10.8,15.1
2018-05-24 03:00,15.9,21.4,19.6,10.6,14.9
2018-05-24 04:00,15.9,21.4,19.6,10.5,15.3
