#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2015-01-14 00:00 to 2019-01-24 20:00
#
# Data for the following site(s) are contained in this file:
#
#	SCAN 2227: Shaw Nature Reserve, MO
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration  Base Data  Measurement Units  Sensor Depth  Element Code  Description                       
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -2            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -4            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -8            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -20           SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -40           SMS           Percent volumetric soil moisture  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Shaw Nature Reserve (2227) 
# Missouri  SCAN Site - 590 ft
# Reporting Frequency: Hourly; Date Range: 2015-01-14 00:00 to 2019-01-24 20:00
#
# As of: Jan 24, 2019 8:12:48 PM GMT-08:00
#
Date,Shaw Nature Reserve (2227) Soil Moisture Percent -2in (pct),Shaw Nature Reserve (2227) Soil Moisture Percent -4in (pct),Shaw Nature Reserve (2227) Soil Moisture Percent -8in (pct),Shaw Nature Reserve (2227) Soil Moisture Percent -20in (pct),Shaw Nature Reserve (2227) Soil Moisture Percent -40in (pct)
2018-05-16 14:00,19.8,25.0,27.5,32.8,34.6
2018-05-16 15:00,20.0,25.4,27.5,33.4,34.7
2018-05-16 16:00,19.9,25.3,27.6,33.1,35.1
2018-05-16 17:00,19.9,25.3,27.5,33.4,35.0
2018-05-16 18:00,19.6,25.3,27.7,33.3,35.3
2018-05-16 19:00,19.7,25.3,27.9,33.7,35.6
2018-05-16 20:00,19.6,25.3,27.7,33.7,35.6
2018-05-16 21:00,19.5,25.3,27.6,33.7,35.8
2018-05-16 22:00,19.5,25.1,27.6,33.7,35.8
2018-05-16 23:00,19.4,25.1,27.6,33.7,36.0
2018-05-17 00:00,19.5,25.2,27.7,33.2,35.9
2018-05-17 01:00,19.2,25.0,27.7,33.6,35.9
2018-05-17 02:00,19.3,25.0,27.7,33.6,36.2
2018-05-17 03:00,19.3,25.0,27.7,33.6,36.2
2018-05-17 04:00,19.1,25.0,27.6,33.6,36.1
2018-05-17 05:00,19.1,25.0,27.6,33.6,36.1
2018-05-17 06:00,19.1,25.1,27.7,33.6,36.0
2018-05-17 07:00,19.5,25.1,27.5,33.6,36.0
2018-05-17 08:00,19.5,25.0,27.7,33.9,35.9
2018-05-17 09:00,19.1,25.0,27.5,33.6,36.4
2018-05-17 10:00,19.6,25.0,27.7,33.0,36.6
2018-05-17 11:00,19.5,25.2,27.5,33.6,36.3
2018-05-17 12:00,19.7,25.2,27.6,32.9,35.6
2018-05-17 13:00,19.3,25.4,27.6,33.3,36.1
2018-05-17 14:00,19.5,25.3,27.5,33.1,36.6
2018-05-17 15:00,19.5,25.3,27.6,33.1,36.6
2018-05-17 16:00,19.8,25.3,27.6,33.6,36.6
2018-05-17 17:00,19.9,25.5,27.8,33.6,36.6
2018-05-17 18:00,20.7,25.5,28.0,33.6,36.6
2018-05-17 19:00,21.4,25.4,28.0,33.5,37.2
2018-05-17 20:00,21.9,25.6,28.3,33.5,37.1
2018-05-17 21:00,22.4,25.5,27.9,33.5,36.8
2018-05-17 22:00,22.2,25.6,27.9,33.5,37.1
2018-05-17 23:00,22.6,25.8,27.9,33.5,36.8
2018-05-18 00:00,22.7,25.8,28.0,33.5,37.1
2018-05-18 01:00,22.6,26.0,28.0,33.5,37.1
2018-05-18 02:00,23.0,25.8,28.0,33.5,37.1
2018-05-18 03:00,22.9,26.0,28.0,33.5,36.6
2018-05-18 04:00,23.1,25.9,28.0,33.4,37.0
2018-05-18 05:00,23.4,26.2,28.0,33.4,37.0
2018-05-18 06:00,24.2,26.2,27.8,33.4,37.0
2018-05-18 07:00,26.6,26.4,27.8,33.4,37.0
2018-05-18 08:00,28.0,26.9,27.8,33.4,36.6
2018-05-18 09:00,28.8,28.6,27.8,33.4,37.0
2018-05-18 10:00,28.7,29.7,27.8,33.4,36.6
2018-05-18 11:00,28.7,30.1,27.8,33.4,37.0
2018-05-18 12:00,28.7,30.5,28.1,33.4,37.3
2018-05-18 13:00,28.9,30.8,28.1,33.2,37.3
2018-05-18 14:00,28.8,30.9,28.1,33.4,37.3
2018-05-18 15:00,31.0,31.8,28.0,33.4,36.8
2018-05-18 16:00,37.4,37.0,28.2,33.4,36.9
2018-05-18 17:00,37.1,38.4,36.3,33.5,36.9
2018-05-18 18:00,36.2,38.5,38.4,32.8,36.9
2018-05-18 19:00,35.7,38.5,39.3,32.9,36.9
2018-05-18 20:00,35.4,38.5,39.5,33.5,36.9
2018-05-18 21:00,35.2,38.2,39.5,33.3,36.7
2018-05-18 22:00,34.9,38.2,39.5,34.5,37.9
2018-05-18 23:00,34.9,38.0,39.5,35.3,56.6
2018-05-19 00:00,34.8,38.0,39.3,35.6,57.2
2018-05-19 01:00,34.6,38.2,39.3,35.6,57.2
2018-05-19 02:00,34.6,38.0,39.2,35.4,57.2
2018-05-19 03:00,34.3,38.0,39.2,35.9,57.2
2018-05-19 04:00,34.3,38.2,39.2,35.8,57.2
2018-05-19 05:00,34.3,38.1,39.0,36.0,57.2
2018-05-19 06:00,34.1,37.8,38.9,36.5,57.2
2018-05-19 07:00,34.1,37.6,38.9,36.5,57.2
2018-05-19 08:00,34.1,37.7,38.9,36.4,57.2
2018-05-19 09:00,34.0,37.7,38.9,36.4,57.2
2018-05-19 10:00,34.0,37.8,38.7,36.7,56.3
2018-05-19 11:00,33.9,37.6,38.5,36.4,56.2
2018-05-19 12:00,33.5,37.8,38.1,36.1,56.1
2018-05-19 13:00,33.7,37.5,37.4,36.6,57.5
2018-05-19 14:00,34.3,37.9,37.4,36.1,56.6
2018-05-19 15:00,34.3,37.8,37.4,36.7,56.6
2018-05-19 16:00,34.3,38.0,38.4,36.7,56.6
2018-05-19 17:00,34.0,38.0,38.4,36.7,56.2
2018-05-19 18:00,34.0,38.0,38.4,36.7,56.4
2018-05-19 19:00,34.0,38.0,38.4,36.6,56.4
2018-05-19 20:00,33.7,38.0,38.4,36.6,56.4
2018-05-19 21:00,33.7,37.7,38.4,36.6,56.4
2018-05-19 22:00,33.9,37.9,38.4,36.6,56.4
2018-05-19 23:00,33.7,37.9,38.4,36.6,55.8
2018-05-20 00:00,33.9,37.9,38.4,36.5,55.8
2018-05-20 01:00,33.6,37.9,38.4,36.9,55.8
2018-05-20 02:00,33.6,37.9,38.1,36.9,55.8
2018-05-20 03:00,33.6,37.9,38.2,36.9,55.8
2018-05-20 04:00,33.6,37.8,38.1,36.9,55.4
2018-05-20 05:00,35.5,38.3,39.4,36.8,55.4
2018-05-20 06:00,35.7,39.0,39.7,36.8,55.4
2018-05-20 07:00,35.7,39.0,40.0,37.0,55.4
2018-05-20 08:00,35.5,39.0,39.7,37.4,55.2
2018-05-20 09:00,35.3,38.9,39.7,37.7,55.8
2018-05-20 10:00,35.2,38.7,39.7,38.0,55.8
2018-05-20 11:00,34.9,38.6,39.7,37.6,55.0
2018-05-20 12:00,34.7,38.7,39.7,38.2,55.0
2018-05-20 13:00,34.6,38.7,39.0,37.8,55.0
2018-05-20 14:00,34.9,38.5,39.4,37.8,55.0
2018-05-20 15:00,34.9,38.6,39.0,38.2,54.8
2018-05-20 16:00,34.6,38.5,39.2,37.4,55.0
2018-05-20 17:00,34.6,38.4,38.9,37.8,57.1
2018-05-20 18:00,34.5,38.4,38.9,38.4,54.9
2018-05-20 19:00,34.4,38.1,38.6,38.4,55.2
2018-05-20 20:00,34.1,38.0,38.8,38.4,52.1
2018-05-20 21:00,34.1,38.0,38.5,38.3,50.9
2018-05-20 22:00,35.9,38.8,39.9,38.3,50.5
2018-05-20 23:00,37.4,42.3,44.2,53.0,56.5
2018-05-21 00:00,51.4,50.0,44.2,53.0,56.5
2018-05-21 01:00,52.0,50.3,44.5,53.3,55.9
2018-05-21 02:00,50.7,47.4,44.7,52.9,55.9
2018-05-21 03:00,42.7,43.5,44.9,53.3,55.9
2018-05-21 04:00,41.0,42.8,44.7,53.2,55.9
2018-05-21 05:00,40.8,42.8,44.7,53.2,55.5
2018-05-21 06:00,40.4,42.5,44.9,53.2,55.9
2018-05-21 07:00,40.1,42.3,44.9,53.2,55.5
2018-05-21 08:00,39.7,41.9,44.7,53.2,55.8
2018-05-21 09:00,38.8,41.7,44.6,53.2,55.5
2018-05-21 10:00,38.7,41.5,43.9,52.9,55.1
2018-05-21 11:00,38.5,41.5,43.5,53.2,55.3
2018-05-21 12:00,38.1,41.3,43.7,53.2,55.3
2018-05-21 13:00,37.9,40.8,43.4,53.2,55.3
2018-05-21 14:00,37.2,40.9,43.9,52.3,55.1
2018-05-21 15:00,37.1,38.9,43.0,52.5,54.4
2018-05-21 16:00,36.8,38.8,39.3,53.2,54.1
2018-05-21 17:00,36.7,38.7,38.9,52.9,54.9
2018-05-21 18:00,36.4,38.2,38.7,52.8,54.9
2018-05-21 19:00,36.3,38.1,38.6,52.8,54.9
2018-05-21 20:00,36.1,38.1,38.1,52.8,54.9
2018-05-21 21:00,36.1,37.8,37.9,52.8,54.5
2018-05-21 22:00,35.8,37.8,37.8,52.8,54.5
2018-05-21 23:00,35.8,37.8,37.6,52.8,54.7
2018-05-22 00:00,35.5,37.6,37.4,52.9,54.7
2018-05-22 01:00,35.5,37.5,37.4,52.3,54.7
2018-05-22 02:00,35.3,37.4,37.4,52.3,54.7
2018-05-22 03:00,35.5,37.4,37.1,52.3,54.1
2018-05-22 04:00,35.1,37.4,37.1,52.3,54.1
2018-05-22 05:00,35.1,37.4,37.0,52.3,54.1
2018-05-22 06:00,35.1,37.3,37.1,44.6,54.1
2018-05-22 07:00,34.9,37.2,37.0,43.7,54.1
2018-05-22 08:00,35.0,37.2,37.1,42.7,54.1
2018-05-22 09:00,35.1,37.3,37.1,42.5,53.8
2018-05-22 10:00,34.6,37.0,37.1,43.6,53.5
2018-05-22 11:00,34.8,37.1,37.8,41.6,53.8
2018-05-22 12:00,34.9,36.8,37.1,41.4,53.0
2018-05-22 13:00,34.1,36.9,36.8,41.2,53.4
2018-05-22 14:00,34.3,36.9,36.8,41.4,53.0
