,site,precip,rzsm,psi_rz,ssm,psi_s,lc_type,vv,hv,B1,B2,B3,B4,B5,B6,B7,B1_filt,B2_filt,B3_filt,B4_filt,B5_filt,B6_filt,B7_filt,ndvi,ndmi,evi,id,elev,clay_fract,silt_fract,sand_fract,a,b,ws
2017-01-14,2215.0,0.0,2.22,7897821.580906442,17.560000000000002,11.64280110584655,11.0,-14.643665,-15.355191,0.299825,0.2987666666666667,0.3015916666666667,0.2992333333333333,0.3400416666666667,0.05509166666666667,0.04868333333333333,0.3053208236808265,0.30844923715924,0.3109900526500555,0.31007448753949035,0.3258054393354424,0.06331182110682168,0.05147033228033274,0.024738871493023395,0.6745874442328127,0.04505457847234884,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,6.457613482036081
2017-01-26,2215.0,0.0,2.54,3294704.4932785733,18.08,9.633211253662699,11.0,-11.053572833333334,-21.402772666666667,0.299825,0.2987666666666667,0.3015916666666667,0.2992333333333333,0.3400416666666667,0.05509166666666667,0.04868333333333333,0.3053208236808265,0.30844923715924,0.3109900526500555,0.31007448753949035,0.3258054393354424,0.06331182110682168,0.05147033228033274,0.024738871493023395,0.6745874442328127,0.04505457847234884,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,6.799813339131921
2017-02-25,2215.0,0.0,2.66,2441483.3096134625,22.54,2.3018181513904343,11.0,-10.807481166666667,-19.157957999999997,0.5648,0.55345,0.54105,0.5285500000000001,0.5389,0.05980000000000001,0.06315000000000001,0.3443542003042035,0.3469588803088835,0.34468269919270234,0.3417864133614165,0.3480034632034664,0.062318182403182966,0.052984961974962434,0.009012961850078874,0.6962471608776708,0.01951290968343029,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,7.887360968921631
2017-03-09,2215.0,0.0,2.9,1393400.0214795729,21.98,2.710256425183724,11.0,-14.220435,-18.47571233333333,0.5912999999999999,0.5983499999999999,0.58415,0.5740000000000001,0.49515,0.0198,0.01505,0.34462787176787496,0.3471899531999564,0.3445704282204314,0.3418576711126743,0.3506266783666816,0.07517100327600394,0.06353180648180705,0.01266311254629839,0.6469168033700812,0.027477059032697912,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,7.878242959368035
2017-04-02,2215.0,0.0,17.359999999999996,12.541708465029902,25.380000000000006,1.065266751153834,11.0,-13.927766333333333,-22.25583,0.458875,0.46565,0.456625,0.452225,0.407825,0.06210000000000001,0.0495,0.3320173667953698,0.3353401825201856,0.3348017557037587,0.33365191189891497,0.3485857711477743,0.09715726535626623,0.08098531274131347,0.021889525630083544,0.564066031773508,0.04468829076800465,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,18.708932712821287
2017-04-26,2215.0,0.0,15.52,25.958084715022462,22.5,2.328516632781609,11.0,-12.531378833333333,-17.698024666666665,0.09320833333333334,0.1023166666666667,0.11055833333333333,0.12189166666666668,0.17029166666666667,0.1773,0.1423,0.264897822627825,0.2707173452673477,0.2761568831168857,0.28095786767287023,0.3176356218556248,0.1582653942903957,0.12736881946882062,0.0612732260279763,0.33488104071694097,0.09423856875143394,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,16.407991025391915
2017-05-20,2215.0,0.0,14.36,42.984768135644636,20.160000000000004,4.750325497249095,11.0,-13.615433666666666,-16.70784433333333,0.04852,0.05861000000000001,0.0745,0.08879000000000001,0.16552999999999998,0.21086999999999997,0.16740000000000002,0.2081929519129538,0.2159303861003881,0.2260461214461235,0.23455542471042684,0.2851229835029861,0.18842695156195327,0.1494480730080744,0.09730548353240992,0.20419395037562954,0.11782062620726357,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,14.802138913549744
2017-06-01,2215.0,0.0,13.7,58.34224351613862,16.24,19.33774330877004,11.0,-16.041801333333336,-20.862818333333333,0.04988,0.06089,0.08410000000000001,0.09971,0.19877,0.23643,0.1854,0.14537070492570625,0.15489323271323413,0.17002894056394208,0.1824756540306557,0.24886859073359305,0.21496231777231967,0.16873064467064622,0.1539209981559495,0.0731005035229151,0.14042222858943185,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,12.404706565702066
2017-06-13,2215.0,0.0,11.54,177.73628389530688,10.7,290.31918255231386,11.0,-14.555038666666666,-18.405287666666666,0.0572,0.0668,0.0931,0.10855,0.2238,0.25485,0.19735000000000005,0.08833758043758122,0.09912220077220166,0.118624307944309,0.13464316309816432,0.21696634608634807,0.2366326611676633,0.18462265122265287,0.23413241348084082,-0.04335616870145014,0.16061069226113925,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,9.501920006686564
2017-06-25,2215.0,0.0,5.64,18556.34132209185,7.2200000000000015,3733.452968967647,11.0,-12.530744666666665,-17.96376366666667,0.0663,0.0746,0.09905,0.11535,0.2307,0.2707,0.2113,0.04556365215865255,0.05671018954019004,0.0799018094068101,0.0987159582309591,0.19519536855037029,0.2545544963144987,0.19824716391716574,0.3282602660332042,-0.13198253607472094,0.1770700168920023,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,5.649046316058959
